model,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,pr_auc_mean,pr_auc_std,pr_auc_median,brier_score_mean,brier_score_std,brier_score_median,expected_cost_mean,expected_cost_std,expected_cost_median
svm,0.6646825396825397,0.03177535936286202,0.6517857142857143,0.6051275358171243,0.058160928204237745,0.5970802249590121,0.16952208583845013,0.011728343588423428,0.1669510204608487,0.5583333333333333,0.061946957917545044,0.55
mlp,0.6349206349206349,0.04992068167354848,0.6383928571428572,0.5724390436606279,0.09439978840413087,0.5736550495536181,0.17907723482665927,0.018166788115825613,0.17768037569853018,0.59,0.059000226997142025,0.5875
logistic,0.6609126984126984,0.030282785974712394,0.6607142857142857,0.6052753857247875,0.06326037746124599,0.6069335031446604,0.17798640276482022,0.016583661039968355,0.18108181840233062,0.5924999999999999,0.0776395632761692,0.58125
fuzzy,0.5948412698412698,0.026299841873929065,0.5967261904761905,0.5122064950969568,0.07715621842150053,0.5406445331034306,0.24979248077522906,0.013237053753046596,0.24549381995473069,0.6283333333333334,0.07352973564354438,0.6125
reject_all,0.5,0.0,0.5,0.3,0.0,0.3,0.7,0.0,0.7,0.7,0.0,0.7
majority,0.5,0.0,0.5,0.3,0.0,0.3,0.3,0.0,0.3,1.5,0.0,1.5
