balanced_accuracy,pr_auc,brier_score,expected_cost,threshold,tn,fp,fn,tp
0.5,0.6783667919387756,0.1527592240609383,0.7,0.0,0,140,0,60
0.5,0.6783667919387756,0.1527592240609383,0.7,0.01,0,140,0,60
0.5,0.6783667919387756,0.1527592240609383,0.7,0.02,0,140,0,60
0.5071428571428571,0.6783667919387756,0.1527592240609383,0.69,0.03,2,138,0,60
0.5178571428571429,0.6783667919387756,0.1527592240609383,0.675,0.04,5,135,0,60
0.5357142857142857,0.6783667919387756,0.1527592240609383,0.65,0.05,10,130,0,60
0.5428571428571428,0.6783667919387756,0.1527592240609383,0.64,0.06,12,128,0,60
0.5714285714285714,0.6783667919387756,0.1527592240609383,0.6,0.07,20,120,0,60
0.5857142857142857,0.6783667919387756,0.1527592240609383,0.58,0.08,24,116,0,60
0.6035714285714285,0.6783667919387756,0.1527592240609383,0.555,0.09,29,111,0,60
0.6178571428571429,0.6783667919387756,0.1527592240609383,0.535,0.1,33,107,0,60
0.6428571428571428,0.6783667919387756,0.1527592240609383,0.5,0.11,40,100,0,60
0.6571428571428571,0.6783667919387756,0.1527592240609383,0.48,0.12,44,96,0,60
0.655952380952381,0.6783667919387756,0.1527592240609383,0.495,0.13,46,94,1,59
0.6666666666666666,0.6783667919387756,0.1527592240609383,0.48,0.14,49,91,1,59
0.6535714285714286,0.6783667919387756,0.1527592240609383,0.525,0.15,50,90,3,57
0.6535714285714286,0.6783667919387756,0.1527592240609383,0.525,0.15000000000000002,50,90,3,57
0.6785714285714286,0.6783667919387756,0.1527592240609383,0.49,0.16,57,83,3,57
0.6857142857142857,0.6783667919387756,0.1527592240609383,0.48,0.17,59,81,3,57
0.6892857142857143,0.6783667919387756,0.1527592240609383,0.475,0.18,60,80,3,57
0.7107142857142856,0.6783667919387756,0.1527592240609383,0.445,0.19,66,74,3,57
0.705952380952381,0.6783667919387756,0.1527592240609383,0.465,0.2,67,73,4,56
0.7130952380952381,0.6783667919387756,0.1527592240609383,0.455,0.21,69,71,4,56
0.7166666666666667,0.6783667919387756,0.1527592240609383,0.45,0.22,70,70,4,56
0.730952380952381,0.6783667919387756,0.1527592240609383,0.43,0.23,74,66,4,56
0.7333333333333334,0.6783667919387756,0.1527592240609383,0.44,0.24,77,63,5,55
0.7321428571428572,0.6783667919387756,0.1527592240609383,0.455,0.25,79,61,6,54
0.7261904761904763,0.6783667919387756,0.1527592240609383,0.49,0.26,82,58,8,52
0.7333333333333334,0.6783667919387756,0.1527592240609383,0.48,0.27,84,56,8,52
0.7238095238095239,0.6783667919387756,0.1527592240609383,0.52,0.28,86,54,10,50
0.7273809523809525,0.6783667919387756,0.1527592240609383,0.515,0.29,87,53,10,50
0.7345238095238096,0.6783667919387756,0.1527592240609383,0.505,0.3,89,51,10,50
0.7380952380952381,0.6783667919387756,0.1527592240609383,0.5,0.31,90,50,10,50
0.7452380952380953,0.6783667919387756,0.1527592240609383,0.49,0.32,92,48,10,50
0.7404761904761905,0.6783667919387756,0.1527592240609383,0.51,0.33,93,47,11,49
0.7357142857142858,0.6783667919387756,0.1527592240609383,0.53,0.34,94,46,12,48
0.7297619047619048,0.6783667919387756,0.1527592240609383,0.565,0.35,97,43,14,46
0.7321428571428572,0.6783667919387756,0.1527592240609383,0.575,0.36,100,40,15,45
0.7428571428571429,0.6783667919387756,0.1527592240609383,0.56,0.37,103,37,15,45
0.75,0.6783667919387756,0.1527592240609383,0.55,0.38,105,35,15,45
0.736904761904762,0.6783667919387756,0.1527592240609383,0.595,0.39,106,34,17,43
0.7428571428571429,0.6783667919387756,0.1527592240609383,0.6,0.4,110,30,18,42
0.75,0.6783667919387756,0.1527592240609383,0.59,0.41,112,28,18,42
0.7452380952380953,0.6783667919387756,0.1527592240609383,0.61,0.42,113,27,19,41
0.736904761904762,0.6783667919387756,0.1527592240609383,0.635,0.43,113,27,20,40
0.7321428571428572,0.6783667919387756,0.1527592240609383,0.655,0.44,114,26,21,39
0.7273809523809524,0.6783667919387756,0.1527592240609383,0.675,0.45,115,25,22,38
0.7178571428571429,0.6783667919387756,0.1527592240609383,0.715,0.46,117,23,24,36
0.7178571428571429,0.6783667919387756,0.1527592240609383,0.715,0.47,117,23,24,36
0.7214285714285714,0.6783667919387756,0.1527592240609383,0.71,0.48,118,22,24,36
0.7285714285714285,0.6783667919387756,0.1527592240609383,0.7,0.49,120,20,24,36
0.7321428571428572,0.6783667919387756,0.1527592240609383,0.695,0.5,121,19,24,36
0.7261904761904762,0.6783667919387756,0.1527592240609383,0.73,0.51,124,16,26,34
0.7333333333333334,0.6783667919387756,0.1527592240609383,0.72,0.52,126,14,26,34
0.7250000000000001,0.6783667919387756,0.1527592240609383,0.745,0.53,126,14,27,33
0.7083333333333334,0.6783667919387756,0.1527592240609383,0.795,0.54,126,14,29,31
0.7,0.6783667919387756,0.1527592240609383,0.82,0.55,126,14,30,30
0.6833333333333333,0.6783667919387756,0.1527592240609383,0.87,0.56,126,14,32,28
0.6666666666666667,0.6783667919387756,0.1527592240609383,0.92,0.57,126,14,34,26
0.6666666666666667,0.6783667919387756,0.1527592240609383,0.92,0.58,126,14,34,26
0.6452380952380953,0.6783667919387756,0.1527592240609383,0.99,0.59,127,13,37,23
0.6202380952380953,0.6783667919387756,0.1527592240609383,1.065,0.6,127,13,40,20
0.6142857142857143,0.6783667919387756,0.1527592240609383,1.1,0.61,130,10,42,18
0.6178571428571429,0.6783667919387756,0.1527592240609383,1.095,0.62,131,9,42,18
0.6178571428571429,0.6783667919387756,0.1527592240609383,1.095,0.63,131,9,42,18
0.6202380952380953,0.6783667919387756,0.1527592240609383,1.105,0.64,134,6,43,17
0.6035714285714286,0.6783667919387756,0.1527592240609383,1.155,0.65,134,6,45,15
0.5988095238095238,0.6783667919387756,0.1527592240609383,1.175,0.66,135,5,46,14
0.6059523809523809,0.6783667919387756,0.1527592240609383,1.165,0.67,137,3,46,14
0.5928571428571429,0.6783667919387756,0.1527592240609383,1.21,0.68,138,2,48,12
0.5833333333333334,0.6783667919387756,0.1527592240609383,1.25,0.69,140,0,50,10
0.5833333333333334,0.6783667919387756,0.1527592240609383,1.25,0.7,140,0,50,10
0.5833333333333334,0.6783667919387756,0.1527592240609383,1.25,0.71,140,0,50,10
0.575,0.6783667919387756,0.1527592240609383,1.275,0.72,140,0,51,9
0.575,0.6783667919387756,0.1527592240609383,1.275,0.73,140,0,51,9
